Alias,Mailbox,Type,Whitelisted IP Address,Inbox,Outbox,URL,Cleo Server,Customer
Langham-EliLilly Push,LNHM,FTP Pull/Push\Langham,['N/A'],F:\,F:\,ftp.traxtech.com,Cary Prod1,Langham
Langham-FTP Push,Langham,FTP Pull/Push\Transcore,['N/A'],F:\,F:\,ftp.dat.com,ATL Prod,Transcore
Leancor,FTP,FTP Pull/Push,['N/A'],%com1%\Dispatch\LeanCor\Prod\Inbound\,%com1%\Dispatch\LeanCor\Prod\Outbound\,ftp.leancor.com,Cary Prod1,
LM Transportation - Arris,myMailbox,AS2 Customers,['N/A'],%com1%\dispatch\LMTS-ARRIS\Test\Inbond\,%com1%\dispatch\LMTS-ARRIS\Test\Outbound\,as2test.arrisi.com,Cary QA,
LMEF-LoomisExpress,myMailbox,FTP Pull/Push,['N/A'],%com1%\dispatch\LMEF-LoomisExpress\Prod\Inbound\,%com1%\dispatch\LMEF-LoomisExpress\Prod\Outbound\,edi.loomis-express.com,Cary Prod1,
LMTS Novozymes,LMTS Novozymes,FTP Pull/Push,['N/A'],inbox\,outbox\,217.16.101.87,Cary QA,L & M Transportation Services
LMTSvcs-PE,LMTSvcs-PE Push,FTP Pull/Push\PostEverywhere,['N/A'],inbox\,%com1%\customerdata\LMTServices\Queue\outbound\PostEverywhere\,ftp.posteverywhere.com,Cary Prod1,L & M Transportation Services
lkvl,lkvl,FTP Server Accounts,"['10.*', '10.66.222.43', '107.115.186.134', '12.222.130.66', '12.222.130.67', '12.24.248.50', '199.66.222.43', '68.93.141.123']",%com1%\Dispatch\LKVL-LakevilleMotorExpress\Prod\\Inbound,%com1%\Dispatch\LKVL-LakevilleMotorExpress\Prod\\Outbound,N/A,Cary Prod1,
aapt,aapt,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '50.206.20.46', '68.93.141.123']",%com1%\dispatch\AAPT-ActiveAero\Prod\\Inbound,%com1%\dispatch\AAPT-ActiveAero\Prod\\Outbound,N/A,Cary Prod1,
awwl,awwl,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '24.153.124.122', '68.93.141.123']",%server%\Dispatch\AWWL-Accela\Prod\\Inbound,%server%\Dispatch\AWWL-Accela\Prod\\Outbound,N/A,Cary Prod1,Server
avrt,avrt,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '216.86.9.3', '68.93.141.123']",%server%\Dispatch\AVRT-AverittExpress\Prod\\Inbound,%server%\Dispatch\AVRT-AverittExpress\Prod\\Outbound,N/A,Cary Prod1,Server
asiv,asiv,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '50.74.167.18', '68.93.141.123']",%server%\dispatch\ASIV-AllianceOTR\Prod\\Inbound,%server%\dispatch\ASIV-AllianceOTR\Prod\\Outbound,N/A,Cary Prod1,Server
apdd,apdd,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '155.14.72.251', '68.93.141.123']",%com1%\Dispatch\APDD-APLLogistics\Prod\\Inbound,%com1%\Dispatch\APDD-APLLogistics\Prod\\Outbound,N/A,Cary Prod1,
ansh,ansh,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '50.74.167.18', '68.93.141.123']",%server%\Dispatch\ANSH-AllianceShippers\Prod\\Inbound,%server%\Dispatch\ANSH-AllianceShippers\Prod\\Outbound,N/A,Cary Prod1,Server
ales,ales,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '68.93.141.123', '74.5.118.78']",%com1%\Dispatch\ALES-AllenFleet\Prod\\Inbound,%com1%\Dispatch\ALES-AllenFleet\Prod\\Outbound,N/A,Cary Prod1,Consultative Sales Professionals
agtg,agtg,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '199.21.199.183', '68.93.141.123']",%com1%\Dispatch\AGTG-AGTrucking\Prod\\Inbound,%com1%\Dispatch\AGTG-AGTrucking\Prod\\Outbound,N/A,Cary Prod1,
agce,agce,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '208.43.158.186', '68.93.141.123']",%com1%\dispatch\AGCE-ACIMotorFrt\Prod\\Inbound,%com1%\dispatch\AGCE-ACIMotorFrt\Prod\\Outbound,N/A,Cary Prod1,
affa,affa,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '68.93.141.123', '74.214.30.126']",%com1%\dispatch\AFFA-ApprovedForwarders\Prod\\Inbound,%com1%\dispatch\AFFA-ApprovedForwarders\Prod\\Outbound,N/A,Cary Prod1,
adxr,adxr,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '50.77.193.170', '68.93.141.123']",%com1%\dispatch\ADXR-ADTransportExpr\Prod\\Inbound,%com1%\dispatch\ADXR-ADTransportExpr\Prod\\Outbound,N/A,Cary Prod1,
adsj,adsj,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '216.86.9.3', '68.93.141.123']",%com1%\Dispatch\ADSJ-AverittTL\Prod\\Inbound,%com1%\Dispatch\ADSJ-AverittTL\Prod\\Outbound,N/A,Cary Prod1,
abxn,abxn,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '216.47.201.30', '68.93.141.123']",%com1%\Dispatch\ABXN-AlabamaMotorExpress\Prod\\Inbound,%com1%\Dispatch\ABXN-AlabamaMotorExpress\Prod\\Outbound,N/A,Cary Prod1,
abfl,abfl,FTP Server Accounts,"['10.*', '104.243.32.194', '107.115.186.134', '108.61.44.10', '12.222.130.66', '12.222.130.67', '68.93.141.123']",%com1%\dispatch\ABFL-AandBFreight\Prod\\Inbound,%com1%\dispatch\ABFL-AandBFreight\Prod\\Outbound,N/A,Cary Prod1,
atmr,atmr,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '173.166.15.77', '216.107.192.203', '64.222.136.36', '68.93.141.123']",%server%\dispatch\ATMR-AtlasMotorExpress\Prod\\Inbound,%server%\dispatch\ATMR-AtlasMotorExpress\Prod\\Outbound,N/A,Cary Prod1,Server
ctid,ctid,FTP Server Accounts,"['10.*', '66.218.179.126', '68.93.141.123']",%com1%\Dispatch\CTID-CarterTrucking\Prod\\Inbound,%com1%\Dispatch\CTID-CarterTrucking\Prod\\Outbound,N/A,Cary Prod1,
ctbv,ctbv,FTP Server Accounts,"['10.*', '107.115.186.134', '12.220.244.15', '12.222.130.66', '12.222.130.67', '68.93.141.123']",%com1%\Dispatch\CTBV-TheCustomCompany\Prod\\Inbound,%com1%\Dispatch\CTBV-TheCustomCompany\Prod\\Outbound,N/A,Cary Prod1,
csny,csny,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '205.233.17.4', '68.93.141.123']",%com1%\dispatch\CSNY-CornerstoneSystems\Prod\\Inbound,%com1%\dispatch\CSNY-CornerstoneSystems\Prod\\Outbound,N/A,Cary Prod1,Cornerstone Systems
crpe,crpe,FTP Server Accounts,"['10.*', '104.46.106.72', '107.115.186.134', '12.222.130.66', '12.222.130.67', '216.134.213.21', '216.134.213.30', '68.93.141.123']",%com1%\dispatch\CRPE-CorporateTraffic\Prod\\Inbound,%com1%\dispatch\CRPE-CorporateTraffic\Prod\\Outbound,N/A,Cary Prod1,
cprs,cprs,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '192.206.181.81', '68.93.141.123']",%com1%\dispatch\CPRS-CanadianPacific\Prod\\Inbound,%com1%\dispatch\CPRS-CanadianPacific\Prod\\Outbound,N/A,Cary Prod1,
coxs,coxs,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '206.51.148.91', '68.93.141.123']",%com1%\Dispatch\COXS-ContinentalExpress\Prod\\Inbound,%com1%\Dispatch\COXS-ContinentalExpress\Prod\\Outbound,N/A,Cary Prod1,
cnwy,cnwy,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '63.230.177.33', '68.93.141.123']",%com1%\Dispatch\CNWY-Con-WayFreight\Prod\\Inbound,%com1%\Dispatch\CNWY-Con-WayFreight\Prod\\Outbound,N/A,Cary Prod1,
cnrv,cnrv,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '209.212.248.23', '68.93.141.123']",%com1%\dispatch\CNRV-CraneCartageLLC\Prod\\Inbound,%com1%\dispatch\CNRV-CraneCartageLLC\Prod\\Outbound,N/A,Cary Prod1,
cmms,cmms,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '209.23.211.11', '68.93.141.123']",%com1%\dispatch\CMMS-CommandTransportation\Prod\\Inbound,%com1%\dispatch\CMMS-CommandTransportation\Prod\\Outbound,N/A,Cary Prod1,
cmki,cmki,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '216.111.234.116', '68.93.141.123']",%com1%\dispatch\CMKI-ComtrakLogInc\Prod\\Inbound,%com1%\dispatch\CMKI-ComtrakLogInc\Prod\\Outbound,N/A,Cary Prod1,
cmfh,cmfh,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '64.7.132.42', '68.93.141.123']",%com1%\dispatch\CMFH-Challenger\Prod\\Inbound,%com1%\dispatch\CMFH-Challenger\Prod\\Outbound,N/A,Cary Prod1,Challenger
cklo,cklo,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '67.53.29.59', '68.93.141.123']",%com1%\dispatch\CKLO-CheckerLogistics\Prod\\Inbound,%com1%\dispatch\CKLO-CheckerLogistics\Prod\\Outbound,N/A,Cary Prod1,Bedrock Logistics
cjrq,cjrq,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '216.201.29.176', '68.93.141.123']",%com1%\dispatch\CJRQ-Cheeseman\Prod\\Inbound,%com1%\dispatch\CJRQ-Cheeseman\Prod\\Outbound,N/A,Cary Prod1,
cgor,cgor,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '207.8.217.70', '68.93.141.123']",%com1%\dispatch\CGOR-CargoTransportation\Prod\\Inbound,%com1%\dispatch\CGOR-CargoTransportation\Prod\\Outbound,N/A,Cary Prod1,
cfwl,cfwl,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '64.235.211.40', '68.93.141.123']",%com1%\dispatch\CFWL-CanFreightwaysLtd\Prod\\Inbound,%com1%\dispatch\CFWL-CanFreightwaysLtd\Prod\\Outbound,N/A,Cary Prod1,
cdss,cdss,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '209.163.130.247', '68.93.141.123']",%com1%\Dispatch\CDSS-CompleteDistribSvcs\Prod\\Inbound,%com1%\Dispatch\CDSS-CompleteDistribSvcs\Prod\\Outbound,N/A,Cary Prod1,
cccp,cccp,FTP Server Accounts,"['10.*', '107.115.186.134', '12.108.61.66', '12.222.130.66', '12.222.130.67', '68.93.141.123']",%com1%\Dispatch\CCCP-CommercialCarriers\Prod\\Inbound,%com1%\Dispatch\CCCP-CommercialCarriers\Prod\\Outbound,N/A,Cary Prod1,
cazf,cazf,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '63.230.216.155', '68.93.141.123']",%com1%\Dispatch\CAZF-CentralAZFreight\Prod\\Inbound,%com1%\Dispatch\CAZF-CentralAZFreight\Prod\\Outbound,N/A,Cary Prod1,
calj,calj,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '4.31.206.196', '68.93.141.123']",%server%\Dispatch\CALJ-CalArk\Prod\\Inbound,%server%\Dispatch\CALJ-CalArk\Prod\\Outbound,N/A,Cary Prod1,Server
bulj,bulj,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '50.205.42.41', '63.166.65.132', '68.93.141.123']",%server%\Dispatch\BULJ-BulkmaticTransport\Prod\\Inbound,%server%\Dispatch\BULJ-BulkmaticTransport\Prod\\Outbound,N/A,Cary Prod1,Server
btvp,btvp,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '199.255.24.84', '68.93.141.123']",%server%\Dispatch\BTVP-BestOvernight\Prod\\Inbound,%server%\Dispatch\BTVP-BestOvernight\Prod\\Outbound,N/A,Cary Prod1,Server
btak,btak,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '173.197.34.106', '68.93.141.123']",%server%\dispatch\BTAK-ButlerTransport\Prod\\Inbound,%server%\dispatch\BTAK-ButlerTransport\Prod\\Outbound,N/A,Cary Prod1,Server
brxs,brxs,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '40.128.66.115', '68.93.141.123']",%server%\dispatch\BRXS-BraunsExpress\Prod\\Inbound,%server%\dispatch\BRXS-BraunsExpress\Prod\\Outbound,N/A,Cary Prod1,Server
brtc,brtc,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '66.206.194.24', '66.206.194.25', '68.93.141.123']",%server%\Dispatch\BRTC-BrownTransfer\Prod\\Inbound,%server%\Dispatch\BRTC-BrownTransfer\Prod\\Outbound,N/A,Cary Prod1,Server
brjf,brjf,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '65.254.213.108', '68.93.141.123']",%server%\dispatch\BRJF-BrownTruckCo\Prod\\Inbound,%server%\dispatch\BRJF-BrownTruckCo\Prod\\Outbound,N/A,Cary Prod1,Server
bouf,bouf,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '23.31.241.170', '68.93.141.123']",%server%\Dispatch\BOUF-BolusFreight\Prod\\Inbound,%server%\Dispatch\BOUF-BolusFreight\Prod\\Outbound,N/A,Cary Prod1,Server
bnaf,bnaf,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '68.93.141.123', '81.200.197.151']",%server%\Dispatch\BNAF-BaxGlobalAirFreight\\Inbound,%server%\Dispatch\BNAF-BaxGlobalAirFreight\\Outbound,N/A,Cary Prod1,Server
blhf,blhf,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '208.68.135.5', '68.109.251.20', '68.93.141.123']",%server%\Dispatch\BLHF-BlackHawkFreight\Prod\\Inbound,%server%\Dispatch\BLHF-BlackHawkFreight\Prod\\Outbound,N/A,Cary Prod1,Server
biss,biss,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '66.63.80.178', '68.93.141.123']",%com1%\dispatch\BISS-BissonTransport\Prod\\Inbound,%com1%\dispatch\BISS-BissonTransport\Prod\\Outbound,N/A,Cary Prod1,Bishop Logistics
biap,biap,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '208.67.177.194', '68.93.141.123']",%server%\dispatch\BIAP-BiagiBrosTransprt\Prod\\Inbound,%server%\dispatch\BIAP-BiagiBrosTransprt\Prod\\Outbound,N/A,Cary Prod1,Server
bhot,bhot,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '24.227.186.50', '68.93.141.123']",%server%\dispatch\BHOT-BeeTrucking\Prod\\Inbound,%server%\dispatch\BHOT-BeeTrucking\Prod\\Outbound,N/A,Cary Prod1,Server
beav,beav,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '12.233.240.164-12.233.240.170', '68.93.141.123']",%com1%\dispatch\BEAV-BeaverExpress\Prod\\Inbound,%com1%\dispatch\BEAV-BeaverExpress\Prod\\Outbound,N/A,Cary Prod1,
bodb,bodb,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '68.93.141.123', '74.254.147.*']",%server%\dispatch\BODB-BoydBrothersTrans\Prod\\Inbound,%server%\dispatch\BODB-BoydBrothersTrans\Prod\\Outbound,N/A,Cary Prod1,Server
cjht,cjht,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '184.177.187.*', '68.93.141.123']",%com1%\Dispatch\CJHT-JohnChristnerTruck\Prod\\Inbound,%com1%\Dispatch\CJHT-JohnChristnerTruck\Prod\\Outbound,N/A,Cary Prod1,
clni,clni,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '206.50.6.93', '63.172.55.251', '66.17.255.5', '68.93.141.123']",%com1%\dispatch\CLNI-ClearLaneFreight\Prod\\Inbound,%com1%\dispatch\CLNI-ClearLaneFreight\Prod\\Outbound,N/A,Cary Prod1,
celc,celc,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '206.82.149.70', '208.191.62.213', '65.64.216.*', '68.93.141.123']",%com1%\Dispatch\CELC-CelticInternational\Prod\\Inbound,%com1%\Dispatch\CELC-CelticInternational\Prod\\Outbound,N/A,Cary Prod1,Celestica
btte,btte,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '68.93.141.123', '69.69.181.142', '76.7.78.218']",%server%\dispatch\BTTE-BarnesTransportation\Prod\\Inbound,%server%\dispatch\BTTE-BarnesTransportation\Prod\\Outbound,N/A,Cary Prod1,Server
cppv,cppv,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '140.239.165.226', '68.93.141.123', '69.178.178.86']",%com1%\Dispatch\CPPV-CaltopLog\Prod\\Inbound,%com1%\Dispatch\CPPV-CaltopLog\Prod\\Outbound,N/A,Cary Prod1,
ctii,ctii,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '65.219.111.122', '68.93.141.123']",%com1%\Dispatch\CTII-CentralTransport\Prod\\Inbound,%com1%\Dispatch\CTII-CentralTransport\Prod\\Outbound,N/A,Cary Prod1,
hlle,hlle,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '208.107.90.18', '68.93.141.123']",%com1%\Dispatch\HLLE-HollandEnterprises\Prod\\Inbound,%com1%\Dispatch\HLLE-HollandEnterprises\Prod\\Outbound,N/A,Cary Prod1,
hvrl,hvrl,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '199.21.245.251', '216.70.21.225-216.70.21.254', '216.70.21.254', '24.179.229.17-24.179.229.30', '24.179.229.18', '68.93.141.123']",%com1%\dispatch\HVRL-HalvorFreightLines\Prod\\Inbound,%com1%\dispatch\HVRL-HalvorFreightLines\Prod\\Outbound,N/A,Cary Prod1,
heth,heth,FTP Server Accounts,"['10.*', '107.115.186.134', '12.218.159.67', '12.222.130.66', '12.222.130.67', '68.93.141.123']",%com1%\dispatch\HETH-RobertHeathTrucking\Prod\\Inbound,%com1%\dispatch\HETH-RobertHeathTrucking\Prod\\Outbound,N/A,Cary Prod1,
hdcw,hdcw,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '65.116.71.194', '68.93.141.123']",%com1%\Dispatch\HDCW-HolmanDistr\Prod\\Inbound,%com1%\Dispatch\HDCW-HolmanDistr\Prod\\Outbound,N/A,Cary Prod1,
hctd,hctd,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '208.68.135.5', '68.93.141.123']",%com1%\dispatch\HCTD-HighCountryTransportation\Prod\\Inbound,%com1%\dispatch\HCTD-HighCountryTransportation\Prod\\Outbound,N/A,Cary Prod1,
gstc,gstc,FTP Server Accounts,"['10.*', '107.115.186.134', '12.151.192.121', '12.222.130.66', '12.222.130.67', '68.93.141.123']",%com1%\Dispatch\GSTC-NYKLogistics\Prod\\Inbound,%com1%\Dispatch\GSTC-NYKLogistics\Prod\\Outbound,N/A,Cary Prod1,
grnl,grnl,FTP Server Accounts,"['10.*', '107.115.186.134', '12.159.251.137', '12.222.130.66', '12.222.130.67', '68.93.141.123']",%com1%\Dispatch\GRNL-GraneTransport\Prod\\Inbound,%com1%\Dispatch\GRNL-GraneTransport\Prod\\Outbound,N/A,Cary Prod1,
glxs,glxs,FTP Server Accounts,"['10.*', '107.115.186.134', '12.159.251.137', '12.222.130.66', '12.222.130.67', '68.93.141.123']",%com1%\dispatch\GLXS-GraneLogExpress\Prod\\Inbound,%com1%\dispatch\GLXS-GraneLogExpress\Prod\\Outbound,N/A,Cary Prod1,
ghat,ghat,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '209.212.248.31', '68.93.141.123']",%com1%\dispatch\GHAT-GHCServices\Prod\\Inbound,%com1%\dispatch\GHAT-GHCServices\Prod\\Outbound,N/A,Cary Prod1,
gfon,gfon,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '68.117.30.98', '68.93.141.123']",%com1%\dispatch\GFON-Grafton\Prod\\Inbound,%com1%\dispatch\GFON-Grafton\Prod\\Outbound,N/A,Cary Prod1,
dart,dart,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '63.86.78.253', '68.93.141.123']",%com1%\Dispatch\DART-DARTTransit\Prod\\Inbound,%com1%\Dispatch\DART-DARTTransit\Prod\\Outbound,N/A,Cary Prod1,
dupr,dupr,FTP Server Accounts,"['10.*', '107.115.186.134', '12.173.78.4', '12.222.130.66', '12.222.130.67', '68.93.141.123']",%com1%\Dispatch\DUPR-DupreLog\Prod\\Inbound,%com1%\Dispatch\DUPR-DupreLog\Prod\\Outbound,N/A,Cary Prod1,"Dupre' Logistics, LLC"
dtmd,dtmd,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '165.72.200.12', '68.93.141.123']",%com1%\Dispatch\DTMD-DHLFreight\Prod\\Inbound,%com1%\Dispatch\DTMD-DHLFreight\Prod\\Outbound,N/A,Cary Prod1,
dtlp,dtlp,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '208.68.135.5', '68.93.141.123']",%com1%\Dispatch\DTLP-DennyTransport\Prod\\Inbound,%com1%\Dispatch\DTLP-DennyTransport\Prod\\Outbound,N/A,Cary Prod1,
dthe,dthe,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '68.93.141.123', '72.38.228.156']",%com1%\Dispatch\DTHE-DTHExpeditors\Prod\\Inbound,%com1%\Dispatch\DTHE-DTHExpeditors\Prod\\Outbound,N/A,Cary Prod1,
dfri,dfri,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '208.32.178.1', '68.93.141.123']",%com1%\Dispatch\DFRI-DuraFreight\Prod\\Inbound,%com1%\Dispatch\DFRI-DuraFreight\Prod\\Outbound,N/A,Cary Prod1,
dekr,dekr,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '208.68.135.5', '68.93.141.123']",%com1%\Dispatch\DEKR-DeckerTruckLine\Prod\\Inbound,%com1%\Dispatch\DEKR-DeckerTruckLine\Prod\\Outbound,N/A,Cary Prod1,
dafg,dafg,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '174.46.83.99', '68.93.141.123']",%com1%\Dispatch\DAFG-Dayton Freight Lines\Prod\\Inbound,%com1%\Dispatch\DAFG-Dayton Freight Lines\Prod\\Outbound,N/A,Cary Prod1,
dylt,dylt,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '66.150.146.161', '66.150.146.2', '68.93.141.123']",%com1%\Dispatch\DYLT-DaylightTransport\Prod\\Inbound,%com1%\Dispatch\DYLT-DaylightTransport\Prod\\Outbound,N/A,Cary Prod1,
dmcq,dmcq,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '204.90.181.162', '68.93.141.123']",%com1%\dispatch\DMCQ-Damco\Prod\\Inbound,%com1%\dispatch\DMCQ-Damco\Prod\\Outbound,N/A,Cary Prod1,
dubl,dubl,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '173.166.15.*', '216.107.192.*', '216.107.202.*', '64.222.136.*', '68.93.141.123']",%com1%\Dispatch\DUBL-DuganTruckLine\Prod\\Inbound,%com1%\Dispatch\DUBL-DuganTruckLine\Prod\\Outbound,N/A,Cary Prod1,
assm,assm,FTP Server Accounts,"['10.*', '107.115.186.134', '12.222.130.66', '12.222.130.67', '209.188.100.70', '68.93.141.123']",%com1%\Dispatch\ASSM-AndersonTruckingFlatbed\Prod\\Inbound,%com1%\Dispatch\ASSM-AndersonTruckingFlatbed\Prod\\Outbound,N/A,Cary Prod1,
aefc,aefc,FTP Server Accounts,"['24.46.212.3', '24.46.23.77', '68.193.54.69', '96.56.165.62']",%server%\Dispatch\AEFC-AmericanFreightCarrier\Prod\\Inbound,%server%\Dispatch\AEFC-AmericanFreightCarrier\Prod\\Outbound,N/A,Cary Prod1,Server
acrl,acrl,FTP Server Accounts,"['192.138.133.82', '216.58.234.196', '216.58.234.197', '70.43.171.66']",%server%\Dispatch\ACRL-AmericanCentralTransp\Prod\\Inbound,%server%\Dispatch\ACRL-AmericanCentralTransp\Prod\\Outbound,N/A,Cary Prod1,Server
aact,aact,FTP Server Accounts,"['10.115.76.110', '107.15.186.134', '107.7.115.126', '192.206.238.104', '192.206.238.15', '192.206.239.104', '192.206.239.19', '199.115.76.110']",%server%\Dispatch\AACT-AAACooperTransportation\Prod\\Inbound,%server%\Dispatch\AACT-AAACooperTransportation\Prod\\Outbound,N/A,Cary Prod1,Server
cpgp,cpgp,FTP Server Accounts,"['209.190.187.37', '209.190.187.41']",%com1%\dispatch\CPGP-CPG\Prod\\Inbound,%com1%\dispatch\CPGP-CPG\Prod\\Outbound,N/A,Cary Prod1,
gnlo,gnlo,FTP Server Accounts,['216.54.14.2'],%com1%\dispatch\GNLO-Givens\Prod\\Inbound,%com1%\dispatch\GNLO-Givens\Prod\\Outbound,N/A,Cary Prod1,
abmq,abmq,FTP Server Accounts,"['159.204.50.10', '159.204.50.12']",%com1%\dispatch\ABMQ-ABFTLBrokerage\Prod\\Inbound,%com1%\dispatch\ABMQ-ABFTLBrokerage\Prod\\Outbound,N/A,Cary Prod1,
abfs,abfs,FTP Server Accounts,"['159.204.50.10', '159.204.50.12']",%com1%\dispatch\ABFS-ABF\Prod\\Inbound,%com1%\dispatch\ABFS-ABF\Prod\\Outbound,N/A,Cary Prod1,
cnjn,cnjn,FTP Server Accounts,"['50.200.15.99', '66.77.219.6', '66.77.219.90']",%com1%\Dispatch\CNJN-CNATrans\Prod\\Inbound,%com1%\Dispatch\CNJN-CNATrans\Prod\\Outbound,N/A,Cary Prod1,
aews,aews,FTP Server Accounts,['12.167.54.2'],%com1%\dispatch\AEWS-AmericanWest\Prod\\Inbound,%com1%\dispatch\AEWS-AmericanWest\Prod\\Outbound,N/A,Cary Prod1,
mllr,mllr,FTP Server Accounts,"['12.139.236.194', '12.186.237.211']",%com1%\dispatch\MLLR-RoyMiller\Prod\\Inbound,%com1%\dispatch\MLLR-RoyMiller\Prod\\Outbound,N/A,Cary Prod1,
mgso,mgso,FTP Server Accounts,"['108.239.65.202', '192.168.1.64']",%server%\Dispatch\MGSO-MGSLogistics\Prod\\Inbound,%server%\Dispatch\MGSO-MGSLogistics\Prod\\Outbound,N/A,Cary Prod1,Server
